decile,users,clicks,predicted_ctr,observed_ctr,lift
1,24,24,0.9893333536166574,1.0,1.6901408450704225
2,24,24,0.956658257378279,1.0,1.6901408450704225
3,24,23,0.9021047755934432,0.9583333333333334,1.619718309859155
4,24,22,0.8282618013399633,0.9166666666666666,1.5492957746478873
5,24,18,0.6917324404089848,0.75,1.267605633802817
6,24,11,0.5281100099676455,0.4583333333333333,0.7746478873239436
7,24,10,0.38648602233713975,0.4166666666666667,0.7042253521126761
8,24,6,0.24308879638696002,0.25,0.4225352112676056
9,24,3,0.08461570189385398,0.125,0.2112676056338028
10,24,1,0.007008607665428021,0.041666666666666664,0.0704225352112676
