feature,importance,importance_type
numeric__I11,0.0070801373,feature_importance
categorical__C13_1147342,0.005909033,feature_importance
numeric__I1,0.0051382096,feature_importance
numeric__I6,0.0037784923,feature_importance
categorical__C14_1150518,0.0033572034,feature_importance
categorical__C23_1934167,0.0031621559,feature_importance
categorical__C13_1147348,0.0031019845,feature_importance
categorical__C7_664547,0.0029797615,feature_importance
categorical__C13_1147433,0.0028648782,feature_importance
categorical__C16_1163052,0.0028442212,feature_importance
categorical__C13_1147352,0.002775713,feature_importance
categorical__C14_1150515,0.0027593519,feature_importance
categorical__C14_1150519,0.0027486407,feature_importance
categorical__C17_1528982,0.0027315763,feature_importance
categorical__C24_1934184,0.0027174328,feature_importance
categorical__C4_415617,0.002652869,feature_importance
categorical__C24_1934194,0.002579616,feature_importance
numeric__I7,0.0025683641,feature_importance
categorical__C3_2041,0.002465254,feature_importance
categorical__C2_1504,0.0024158577,feature_importance
categorical__C11_732106,0.0023621735,feature_importance
categorical__C4_415607,0.0022294158,feature_importance
categorical__C19_1533929,0.0022015641,feature_importance
categorical__C2_1489,0.0021734338,feature_importance
categorical__C10_677373,0.0021382414,feature_importance
categorical__C24_1934186,0.0021370621,feature_importance
categorical__C4_415611,0.0020864066,feature_importance
categorical__C13_1147434,0.002071337,feature_importance
categorical__C3_2467,0.0020574685,feature_importance
categorical__C14_1150512,0.0020574199,feature_importance
categorical__C4_415703,0.0020349442,feature_importance
categorical__C7_664557,0.0020333857,feature_importance
categorical__C11_732126,0.0020136067,feature_importance
categorical__C10_677394,0.0020043505,feature_importance
categorical__C4_415609,0.0019586103,feature_importance
categorical__C14_1150530,0.001912559,feature_importance
categorical__C2_1547,0.0018926911,feature_importance
categorical__C20_1536021,0.0018906284,feature_importance
categorical__C11_732329,0.0018872084,feature_importance
categorical__C26_2022913,0.0018869808,feature_importance
categorical__C3_2055,0.0018765118,feature_importance
categorical__C11_732112,0.0018402123,feature_importance
categorical__C13_1148155,0.001830806,feature_importance
categorical__C11_732098,0.0018286102,feature_importance
categorical__C15_1150588,0.0018206763,feature_importance
categorical__C11_732152,0.0018183345,feature_importance
numeric__I13,0.0018004763,feature_importance
categorical__C11_732131,0.0017951453,feature_importance
categorical__C13_1147393,0.001745353,feature_importance
categorical__C4_415845,0.0017445282,feature_importance
