decile,users,clicks,predicted_ctr,observed_ctr,lift
1,4000,2595,0.6069562,0.64875,2.5955191038207643
2,4000,1750,0.42763594,0.4375,1.7503500700140027
3,4000,1378,0.33956307,0.3445,1.378275655131026
4,4000,1123,0.27577332,0.28075,1.1232246449289858
5,4000,912,0.22544985,0.228,0.9121824364872975
6,4000,793,0.18577342,0.19825,0.7931586317263453
7,4000,563,0.15229395,0.14075,0.5631126225245048
8,4000,445,0.12257118,0.11125,0.4450890178035607
9,4000,291,0.09335462,0.07275,0.2910582116423284
10,4000,148,0.05894457,0.037,0.14802960592118422
