feature,importance,importance_type
numeric__I2,456,feature_importance
numeric__I9,395,feature_importance
numeric__I1,338,feature_importance
numeric__user_activity_score,258,feature_importance
numeric__ad_signal_score,255,feature_importance
numeric__context_intensity_score,194,feature_importance
numeric__I4,178,feature_importance
numeric__I3,176,feature_importance
numeric__I8,173,feature_importance
numeric__I13,168,feature_importance
numeric__I10,140,feature_importance
numeric__I7,124,feature_importance
numeric__I12,116,feature_importance
numeric__I11,112,feature_importance
numeric__I5,99,feature_importance
numeric__I6,92,feature_importance
categorical__C1_C1_1,21,feature_importance
categorical__C2_C2_2,5,feature_importance
categorical__C3_C3_3,1,feature_importance
numeric__missing_numeric_count,0,feature_importance
categorical__C1_C1_2,0,feature_importance
categorical__C1_C1_3,0,feature_importance
categorical__C1_C1_4,0,feature_importance
categorical__C1_C1_5,0,feature_importance
categorical__C1_C1_6,0,feature_importance
categorical__C1_C1_7,0,feature_importance
numeric__known_category_count,0,feature_importance
categorical__C1_C1_0,0,feature_importance
categorical__C2_C2_1,0,feature_importance
categorical__C1_infrequent_sklearn,0,feature_importance
categorical__C2_C2_4,0,feature_importance
categorical__C2_C2_3,0,feature_importance
categorical__C2_C2_6,0,feature_importance
categorical__C2_C2_7,0,feature_importance
categorical__C2_C2_8,0,feature_importance
categorical__C2_C2_5,0,feature_importance
categorical__C2_infrequent_sklearn,0,feature_importance
categorical__C3_C3_0,0,feature_importance
categorical__C3_C3_2,0,feature_importance
categorical__C3_C3_4,0,feature_importance
categorical__C3_C3_5,0,feature_importance
categorical__C3_C3_6,0,feature_importance
categorical__C3_C3_7,0,feature_importance
categorical__C3_C3_8,0,feature_importance
categorical__C3_infrequent_sklearn,0,feature_importance
categorical__C4_C4_0,0,feature_importance
categorical__C4_C4_1,0,feature_importance
categorical__C4_C4_3,0,feature_importance
categorical__C4_C4_4,0,feature_importance
categorical__C4_C4_5,0,feature_importance
