decile,users,clicks,predicted_ctr,observed_ctr,lift
1,5,5,0.9999891983636087,1.0,1.7142857142857142
2,5,5,0.9998805576073503,1.0,1.7142857142857142
3,5,5,0.9985108317471514,1.0,1.7142857142857142
4,4,4,0.9858682475837303,1.0,1.7142857142857142
5,5,1,0.8830245320523552,0.2,0.34285714285714286
6,5,4,0.6376167748573043,0.8,1.3714285714285714
7,4,2,0.18397772393408507,0.5,0.8571428571428571
8,5,1,0.04356828168067278,0.2,0.34285714285714286
9,5,1,0.004498979270640756,0.2,0.34285714285714286
10,5,0,0.00023824432809704623,0.0,0.0
