decile,users,clicks,predicted_ctr,observed_ctr,lift
1,5,4,0.8641173531838262,0.8,1.3714285714285714
2,5,4,0.7835483109955048,0.8,1.3714285714285714
3,5,4,0.702380261753447,0.8,1.3714285714285714
4,4,2,0.6777745120130457,0.5,0.8571428571428571
5,5,3,0.6403129800759623,0.6,1.0285714285714285
6,5,2,0.6182420605473192,0.4,0.6857142857142857
7,4,3,0.5908884000589691,0.75,1.2857142857142856
8,5,1,0.574284392306992,0.2,0.34285714285714286
9,5,3,0.5498201592080071,0.6,1.0285714285714285
10,5,2,0.4652825380401201,0.4,0.6857142857142857
