feature,importance,importance_type
numeric__I2,0.21554438316282304,feature_importance
numeric__I9,0.12538889926777871,feature_importance
numeric__ad_signal_score,0.0899883537166477,feature_importance
numeric__user_activity_score,0.0871009714841377,feature_importance
numeric__I1,0.08627797807803997,feature_importance
numeric__context_intensity_score,0.053985889312090446,feature_importance
numeric__I3,0.04931803452200881,feature_importance
numeric__I7,0.04148968632040337,feature_importance
numeric__I5,0.03848709043055227,feature_importance
numeric__I4,0.038012923322153204,feature_importance
numeric__I11,0.03523897894809593,feature_importance
numeric__I10,0.03392186337473506,feature_importance
numeric__I13,0.031489134924506446,feature_importance
numeric__I12,0.026434458800594963,feature_importance
numeric__I8,0.02209532049806689,feature_importance
numeric__I6,0.022056125879071006,feature_importance
categorical__C3_C3_6,0.0016304314327882513,feature_importance
categorical__C16_C16_1,0.0015394765255060618,feature_importance
categorical__C1_C1_0,0.0,feature_importance
numeric__missing_numeric_count,0.0,feature_importance
categorical__C1_C1_2,0.0,feature_importance
categorical__C1_C1_3,0.0,feature_importance
categorical__C1_C1_4,0.0,feature_importance
categorical__C1_C1_5,0.0,feature_importance
categorical__C1_C1_6,0.0,feature_importance
categorical__C1_C1_7,0.0,feature_importance
categorical__C1_infrequent_sklearn,0.0,feature_importance
numeric__known_category_count,0.0,feature_importance
categorical__C2_C2_1,0.0,feature_importance
categorical__C2_C2_2,0.0,feature_importance
categorical__C2_C2_4,0.0,feature_importance
categorical__C2_C2_3,0.0,feature_importance
categorical__C2_C2_6,0.0,feature_importance
categorical__C2_C2_7,0.0,feature_importance
categorical__C2_C2_8,0.0,feature_importance
categorical__C2_C2_5,0.0,feature_importance
categorical__C2_infrequent_sklearn,0.0,feature_importance
categorical__C3_C3_0,0.0,feature_importance
categorical__C3_C3_3,0.0,feature_importance
categorical__C3_C3_2,0.0,feature_importance
categorical__C3_C3_4,0.0,feature_importance
categorical__C3_C3_5,0.0,feature_importance
categorical__C3_C3_7,0.0,feature_importance
categorical__C3_C3_8,0.0,feature_importance
categorical__C3_infrequent_sklearn,0.0,feature_importance
categorical__C4_C4_0,0.0,feature_importance
categorical__C4_C4_1,0.0,feature_importance
categorical__C4_C4_3,0.0,feature_importance
categorical__C4_C4_4,0.0,feature_importance
categorical__C4_C4_5,0.0,feature_importance
