decile,users,clicks,predicted_ctr,observed_ctr,lift
1,5,5,0.5845645414899304,1.0,1.7142857142857142
2,5,4,0.5679999142183854,0.8,1.3714285714285714
3,5,5,0.5526723285200876,1.0,1.7142857142857142
4,4,4,0.5333962065010606,1.0,1.7142857142857142
5,5,3,0.5175151573813265,0.6,1.0285714285714285
6,5,3,0.502774946109206,0.6,1.0285714285714285
7,4,2,0.49258332346258354,0.5,0.8571428571428571
8,5,1,0.47162085890762,0.2,0.34285714285714286
9,5,0,0.4508417311758552,0.0,0.0
10,5,1,0.43916684214154655,0.2,0.34285714285714286
