feature,importance,importance_type
numeric__I2,0.11890259,feature_importance
numeric__I9,0.10460802,feature_importance
categorical__C1_C1_1,0.08973079,feature_importance
numeric__I1,0.081528224,feature_importance
numeric__user_activity_score,0.058774468,feature_importance
categorical__C1_C1_3,0.055647314,feature_importance
numeric__I13,0.04994837,feature_importance
categorical__C1_C1_7,0.046906598,feature_importance
numeric__ad_signal_score,0.04006807,feature_importance
numeric__context_intensity_score,0.038100813,feature_importance
numeric__I5,0.03718776,feature_importance
numeric__I4,0.036757078,feature_importance
numeric__I3,0.035112496,feature_importance
numeric__I7,0.03212755,feature_importance
numeric__I11,0.030091088,feature_importance
categorical__C2_infrequent_sklearn,0.028329866,feature_importance
numeric__I8,0.025304286,feature_importance
numeric__I12,0.025232833,feature_importance
numeric__I10,0.023187697,feature_importance
numeric__I6,0.019419698,feature_importance
categorical__C1_C1_2,0.015314411,feature_importance
categorical__C1_C1_6,0.0077199023,feature_importance
numeric__missing_numeric_count,0.0,feature_importance
categorical__C1_C1_0,0.0,feature_importance
categorical__C1_C1_5,0.0,feature_importance
categorical__C1_C1_4,0.0,feature_importance
categorical__C1_infrequent_sklearn,0.0,feature_importance
numeric__known_category_count,0.0,feature_importance
categorical__C2_C2_1,0.0,feature_importance
categorical__C2_C2_2,0.0,feature_importance
categorical__C2_C2_4,0.0,feature_importance
categorical__C2_C2_3,0.0,feature_importance
categorical__C2_C2_5,0.0,feature_importance
categorical__C2_C2_6,0.0,feature_importance
categorical__C2_C2_7,0.0,feature_importance
categorical__C2_C2_8,0.0,feature_importance
categorical__C3_C3_0,0.0,feature_importance
categorical__C3_C3_2,0.0,feature_importance
categorical__C3_C3_3,0.0,feature_importance
categorical__C3_C3_4,0.0,feature_importance
categorical__C3_C3_5,0.0,feature_importance
categorical__C3_C3_6,0.0,feature_importance
categorical__C3_C3_7,0.0,feature_importance
categorical__C3_C3_8,0.0,feature_importance
categorical__C3_infrequent_sklearn,0.0,feature_importance
categorical__C4_C4_0,0.0,feature_importance
categorical__C4_C4_1,0.0,feature_importance
categorical__C4_C4_3,0.0,feature_importance
categorical__C4_C4_4,0.0,feature_importance
categorical__C4_C4_5,0.0,feature_importance
